date	close_stock	SMA_short	SMA_long	RSI	Signal	correlation_10D	total_return	price_return	close_index
2/10/2025	166.92	166.4733	166.4886	31.5579	Hold	0.8421	0.0061	0.0061	4895.2
2/11/2025	167.66	166.83	166.4214	39.624	Buy	0.8422	0.0044	0.0044	4905.9
2/12/2025	167.36	167.3133	166.47	47.2414	Hold	0.7423	-0.0018	-0.0018	4918.3
2/13/2025	167.13	167.3833	166.7843	43.1513	Hold	0.7496	-0.0014	-0.0014	4925.1
2/14/2025	166	166.83	166.7957	45.2158	Hold	0.8058	-0.0068	-0.0068	4915.7
2/17/2025	163.91	165.68	166.4129	34.6787	Sell	0.8083	-0.0126	-0.0126	4908.2
2/18/2025	164.9	164.9367	166.2686	39.4656	Hold	0.7492	0.006	0.006	4915.5
2/19/2025	165.07	164.6267	166.0043	41.1719	Hold	0.8125	0.001	0.001	4925.1
2/20/2025	164.41	164.7933	165.54	35.5365	Hold	0.8054	-0.004	-0.004	4920.8
2/21/2025	164.9	164.7933	165.1886	41.3399	Hold	0.8263	0.003	0.003	4930.2
2/24/2025	165.64	164.9833	164.9757	53.2599	Buy	0.8185	0.0045	0.0045	4940.9
2/25/2025	165.34	165.2933	164.8814	47.1569	Hold	0.7793	-0.0018	-0.0018	4950.3
2/26/2025	165.11	165.3633	165.0529	42.418	Hold	0.8128	-0.0014	-0.0014	4960.1
2/27/2025	164	164.8167	164.9243	40.6281	Sell	0.8352	-0.0067	-0.0067	4955.7
2/28/2025	161.89	163.6667	164.47	27.7236	Hold	0.8752	-0.0129	-0.0129	4948.2
3/3/2025	162.88	162.9233	164.2514	29.2894	Hold	0.8127	0.0095	0.0061	4955.5
3/4/2025	163.05	162.6067	163.9871	31.1131	Hold	0.8354	0.001	0.001	4965.1
3/5/2025	162.39	162.7733	163.5229	29.9831	Hold	0.8228	-0.004	-0.004	4960.8
3/6/2025	162.88	162.7733	163.1714	36.0714	Hold	0.8435	0.003	0.003	4970.2
3/7/2025	163.62	162.9633	162.9586	48.5279	Buy	0.848	0.0045	0.0045	4980.9
3/10/2025	163.32	163.2733	162.8614	41.3755	Hold	0.8091	-0.0018	-0.0018	4990.3
3/11/2025	163.09	163.3433	163.0329	39.2625	Hold	0.8118	-0.0014	-0.0014	5000.1
3/12/2025	161.98	162.7967	162.9043	37.4354	Sell	0.8509	-0.0068	-0.0068	4995.7
3/13/2025	159.87	161.6467	162.45	27.7236	Hold	0.8752	-0.013	-0.013	4988.2
3/14/2025	160.86	160.9033	162.2314	29.2894	Hold	0.8126	0.0062	0.0062	4995.5
3/17/2025	161.03	160.5867	161.9671	31.1131	Hold	0.8354	0.0011	0.0011	5005.1
3/18/2025	160.37	160.7533	161.5029	29.9831	Hold	0.8228	-0.0041	-0.0041	5000.8
3/19/2025	160.86	160.7533	161.1514	36.0071	Hold	0.8435	0.0031	0.0031	5010.2
3/20/2025	161.6	160.9433	160.9386	48.5279	Buy	0.848	0.0046	0.0046	5020.9
3/21/2025	161.3	161.2533	160.8414	41.3755	Hold	0.8091	-0.0019	-0.0019	5030.3
3/24/2025	161.07	161.3233	161.0129	39.2625	Hold	0.8118	-0.0014	-0.0014	5040.1
3/25/2025	159.96	160.7767	160.8843	37.4354	Sell	0.8508	-0.0069	-0.0069	5035.7
3/26/2025	157.85	159.6267	160.43	27.7236	Hold	0.8752	-0.0132	-0.0132	5028.2
3/27/2025	158.84	158.8833	160.2114	29.2894	Hold	0.8126	0.0063	0.0063	5035.5
3/28/2025	159.01	158.5667	159.9471	31.1131	Hold	0.8353	0.0011	0.0011	5045.1
3/31/2025	158.35	158.7333	159.4829	29.9831	Hold	0.8161	-0.0042	-0.0042	5039.8
4/1/2025	158.84	158.7333	159.1314	36.0071	Hold	0.5716	0.0031	0.0031	5030.8
4/2/2025	159.58	158.9233	158.9186	48.5279	Buy	0.2396	0.0047	0.0047	5015.2
4/3/2025	159.28	159.2333	158.8214	41.3755	Hold	0.14	-0.0019	-0.0019	5000.9
4/4/2025	159.05	159.3033	158.9929	39.2625	Hold	0.1521	-0.0014	-0.0014	4985.3
4/7/2025	157.93	158.7533	158.8629	37.3967	Sell	0.254	-0.007	-0.007	4970.1
4/8/2025	155.82	157.6	158.4071	27.6991	Hold	0.3737	-0.0134	-0.0134	4955.7
4/9/2025	156.81	156.8533	158.1871	29.2641	Hold	0.3115	0.0064	0.0064	4940.2
4/10/2025	157	156.5433	157.9243	31.2063	Hold	0.0903	0.0012	0.0012	4925.5
4/11/2025	156.33	156.7133	157.46	30.0505	Hold	-0.0338	-0.0043	-0.0043	4910.1
4/14/2025	156.82	156.7167	157.1086	36.0568	Hold	0.1423	0.0031	0.0031	4895.7
4/15/2025	157.56	156.9033	156.8957	48.5339	Buy	-0.4346	0.0047	0.0047	4880.2
4/16/2025	157.26	157.2133	156.8	41.413	Hold	-0.3985	-0.0019	-0.0019	4865.5
4/17/2025	157.03	157.2833	156.9729	39.3089	Hold	-0.4264	-0.0015	-0.0015	4850.1
4/18/2025	155.98	156.7567	156.8543	37.7202	Sell	-0.4778	-0.0067	-0.0067	4835.7
4/21/2025	153.86	155.6233	156.4057	27.9255	Hold	-0.1182	-0.0136	-0.0136	4820.2
4/22/2025	154.85	154.8967	156.1943	29.4883	Hold	0.2287	0.0064	0.0064	4805.5
4/23/2025	155.02	154.5767	155.9371	31.3158	Hold	0.2485	0.0011	0.0011	4790.1
4/24/2025	154.35	154.74	155.4786	30.152	Hold	0.1631	-0.0043	-0.0043	4775.7
4/25/2025	154.84	154.7367	155.1329	36.2177	Hold	0.0127	0.0032	0.0032	4760.2
4/28/2025	155.58	154.9233	154.9257	48.7805	Hold	-0.0942	0.0048	0.0048	4745.5
4/29/2025	155.28	155.2333	154.8257	41.6393	Buy	-0.0202	-0.0019	-0.0019	4730.1
4/30/2025	155.05	155.3033	154.9957	39.3906	Hold	-0.012	-0.0015	-0.0015	4715.7
5/1/2025	153.93	154.7533	154.8643	37.5519	Sell	0.1284	-0.0072	-0.0072	4700.2
5/2/2025	151.82	153.6	154.4071	27.7975	Hold	0.2212	-0.0137	-0.0137	4685.5
5/5/2025	152.81	152.8533	154.1871	29.3658	Hold	-0.0452	0.0065	0.0065	4670.1
5/6/2025	152.98	152.5367	153.9214	31.1951	Hold	-0.1661	0.0011	0.0011	4655.7
5/7/2025	152.31	152.7	153.4543	30.0338	Hold	-0.0595	-0.0044	-0.0044	4640.2
5/8/2025	152.8	152.6967	153.1	35.8792	Hold	0.0372	0.0032	0.0032	4625.5
5/9/2025	153.54	152.8833	152.8843	48.3806	Hold	-0.0578	0.0048	0.0048	4610.1
5/12/2025	153.24	153.1933	152.7857	41.2405	Buy	-0.1907	-0.002	-0.002	4595.7
5/13/2025	153.01	153.2633	152.9557	39.1351	Hold	-0.1723	-0.0015	-0.0015	4580.2
5/14/2025	151.96	152.7367	152.8343	37.5909	Sell	-0.2118	-0.0069	-0.0069	4565.5
5/15/2025	149.85	151.6067	152.3871	27.8222	Hold	0.0168	-0.0139	-0.0139	4550.1
5/16/2025	150.84	150.8833	152.1771	29.3913	Hold	0.341	0.0066	0.0066	4535.7
5/19/2025	151.01	150.5667	151.9214	31.2225	Hold	0.3161	0.0011	0.0011	4520.2
5/20/2025	150.35	150.7333	151.4657	30.0847	Hold	-0.1348	-0.0044	-0.0044	4528.9
5/21/2025	150.84	150.7333	151.1229	36.1683	Hold	0.0635	0.0033	0.0033	4540.5
5/22/2025	151.58	150.9233	150.9186	48.7755	Buy	0.2641	0.0049	0.0049	4555.1
5/23/2025	151.28	151.2333	150.8214	41.6026	Hold	0.3205	-0.002	-0.002	4565.7
5/27/2025	151.05	151.3033	150.9929	39.4766	Hold	0.296	-0.0015	-0.0015	4580.2
5/28/2025	149.93	150.7533	150.8629	37.6299	Sell	0.1808	-0.0074	-0.0074	4595.5
5/29/2025	147.82	149.6	150.4071	27.847	Hold	-0.0735	-0.0141	-0.0141	4610.1
5/30/2025	148.81	148.8533	150.1871	29.4169	Hold	-0.3412	0.0067	0.0067	4625.7
6/2/2025	149	148.5433	149.9243	31.3708	Hold	-0.1112	0.005	0.0013	4640.2
6/3/2025	148.33	148.7133	149.46	30.203	Hold	0.0343	-0.0045	-0.0045	4655.5
6/4/2025	148.82	148.7167	149.1086	36.0568	Hold	-0.0866	0.0033	0.0033	4670.1
6/5/2025	149.56	148.9033	148.8957	48.5339	Buy	0.1085	0.005	0.005	4685.7
6/6/2025	149.26	149.2133	148.8	41.413	Hold	0.0921	-0.002	-0.002	4700.2
6/9/2025	149.03	149.2833	148.9729	39.3089	Hold	0.1997	-0.0015	-0.0015	4715.5
6/10/2025	147.98	148.7567	148.8543	37.7202	Sell	0.2911	-0.007	-0.007	4730.1
6/11/2025	145.86	147.6233	148.4057	27.9255	Hold	0.2207	-0.0143	-0.0143	4745.7
6/12/2025	146.85	146.8967	148.1943	29.4883	Hold	-0.038	0.0068	0.0068	4760.2
6/13/2025	147.02	146.5767	147.9371	31.3158	Hold	-0.287	0.0012	0.0012	4775.5
6/16/2025	146.35	146.74	147.4786	30.152	Hold	-0.1768	-0.0046	-0.0046	4790.1
6/17/2025	146.84	146.7367	147.1329	36.2177	Hold	-0.0627	0.0033	0.0033	4805.7
6/18/2025	147.58	146.9233	146.9257	48.7805	Hold	-0.1679	0.005	0.005	4820.2
6/19/2025	147.28	147.2333	146.8257	41.6393	Buy	-0.4057	-0.002	-0.002	4835.5
6/20/2025	147.05	147.3033	146.9957	39.3906	Hold	-0.3812	-0.0016	-0.0016	4850.1
6/23/2025	145.93	146.7533	146.8643	37.5519	Sell	-0.4528	-0.0076	-0.0076	4865.7
6/24/2025	143.82	145.6	146.4071	27.7975	Hold	-0.1378	-0.0145	-0.0145	4880.2
6/27/2025	144.33	144.6933	146.1186	26.2919	Hold	0.2093	0.0035	0.0035	4895.5
6/30/2025	144.82	144.3233	145.83	30.2139	Hold	0.1807	0.0034	0.0034	4910.1
